City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Mogadishu,SO,2022-04-05 20:11:21,2.0371,45.3438,81.12,76,57,15.57
214,Bridlington,GB,2022-04-05 20:11:21,54.0831,-0.1919,49.93,77,100,21.54
215,Varhaug,NO,2022-04-05 20:11:22,58.6147,5.6457,38.75,59,100,7.0
216,Manta,EC,2022-04-05 20:11:22,-0.95,-80.7333,83.98,74,20,11.5
217,Beringovskiy,RU,2022-04-05 20:11:22,63.05,179.3167,-5.98,87,18,5.55
218,Kurilsk,RU,2022-04-05 20:11:23,45.2333,147.8833,38.26,91,17,13.15
219,Kardamaina,GR,2022-04-05 20:11:23,36.7814,27.1425,62.08,67,34,5.75
220,Riyadh,SA,2022-04-05 20:07:35,24.6877,46.7219,80.74,9,0,9.44
221,Novikovo,RU,2022-04-05 20:11:23,51.1537,37.8879,40.77,78,100,15.35
222,Sept-Iles,CA,2022-04-05 20:11:24,50.2001,-66.3821,33.08,80,100,7.63
223,Bengkulu,ID,2022-04-05 20:11:24,-3.8004,102.2655,75.69,87,100,3.78
224,Khatanga,RU,2022-04-05 20:12:24,71.9667,102.5,-11.83,92,8,8.41
225,Norman Wells,CA,2022-04-05 20:12:25,65.282,-126.8329,13.33,83,48,1.34
226,Vanavara,RU,2022-04-05 20:12:25,60.34,102.2797,17.17,98,100,4.34
227,Namatanai,PG,2022-04-05 20:12:26,-3.6667,152.4333,77.68,90,100,6.67
228,Sinnamary,GF,2022-04-05 20:12:26,5.3833,-52.95,78.84,85,77,13.47
229,Caravelas,BR,2022-04-05 20:12:26,-17.7125,-39.2481,80.69,72,5,6.2
230,Harper,LR,2022-04-05 20:12:27,4.375,-7.7169,81.61,85,46,7.94
231,Port Keats,AU,2022-04-05 20:12:27,-14.25,129.55,80.29,79,23,2.73
232,Barrow,US,2022-04-05 20:12:27,71.2906,-156.7887,-16.58,76,100,4.61
233,Rio Grande,BR,2022-04-05 20:08:33,-32.035,-52.0986,75.31,54,0,9.22
234,Markova,UA,2022-04-05 20:12:28,48.6758,24.4138,39.09,81,59,5.82
235,Sola,VU,2022-04-05 20:12:28,-13.8833,167.55,82.94,73,68,17.05
236,Morondava,MG,2022-04-05 20:12:28,-20.2833,44.2833,78.42,67,0,8.75
237,Esperance,AU,2022-04-05 20:10:50,-33.8667,121.9,62.64,72,88,6.53
238,Cherskiy,RU,2022-04-05 20:12:29,68.75,161.3,-17.21,98,35,2.39
239,Lewistown,US,2022-04-05 20:07:30,40.5992,-77.5714,63.54,69,100,8.05
240,Ouadda,CF,2022-04-05 20:12:29,8.0777,22.4007,79.27,42,88,3.38
241,Mawlaik,MM,2022-04-05 20:12:30,23.6333,94.4167,77.45,57,72,2.59
242,Cuijk,NL,2022-04-05 20:12:30,51.7167,5.8667,51.21,94,100,10.36
243,Havre-Saint-Pierre,CA,2022-04-05 20:12:30,50.2334,-63.5986,33.96,74,98,9.48
244,Kichera,RU,2022-04-05 20:12:31,55.9375,110.0997,12.6,82,100,3.13
245,Ongandjera,NA,2022-04-05 20:12:31,-17.8833,15.0667,75.99,33,0,2.68
246,Ponta Do Sol,PT,2022-04-05 20:09:20,32.6667,-17.1,60.71,64,45,7.43
247,Dalbandin,PK,2022-04-05 20:12:31,28.8947,64.4101,77.67,7,0,6.87
248,Saskylakh,RU,2022-04-05 20:12:32,71.9167,114.0833,-26.28,100,66,2.57
249,Mar Del Plata,AR,2022-04-05 20:12:32,-38.0023,-57.5575,76.87,42,0,16.11
250,Axim,GH,2022-04-05 20:12:32,4.8699,-2.2405,81.5,83,31,7.07
251,Sakakah,SA,2022-04-05 20:12:33,29.9697,40.2064,75.76,15,88,9.35
252,Yangjiang,CN,2022-04-05 20:12:33,21.85,111.9667,66.02,83,78,1.95
253,Sweetwater,US,2022-04-05 20:12:33,25.7634,-80.3731,87.8,73,75,16.11
254,Cravo Norte,CO,2022-04-05 20:12:34,6.3017,-70.2041,89.69,49,95,1.99
255,Mehran,IR,2022-04-05 20:12:35,33.1222,46.1646,76.62,20,88,6.67
256,Port Blair,IN,2022-04-05 20:05:24,11.6667,92.75,80.06,80,100,5.91
257,Fairbanks,US,2022-04-05 20:10:32,64.8378,-147.7164,21.31,69,75,0.0
258,Hwange,ZW,2022-04-05 20:12:36,-18.3693,26.5019,73.04,71,44,1.32
259,Telki,HU,2022-04-05 20:12:36,47.5479,18.8282,48.97,76,100,12.62
260,Tasiilaq,GL,2022-04-05 20:05:24,65.6145,-37.6368,24.96,94,48,5.41
261,Klaksvik,FO,2022-04-05 20:12:36,62.2266,-6.589,32.92,59,100,20.98
262,Lichuan,CN,2022-04-05 20:12:37,30.3,108.85,45.54,95,100,2.57
263,Zolotonosha,UA,2022-04-05 20:12:37,49.6689,32.0377,44.4,61,100,10.33
264,Dongsheng,CN,2022-04-05 20:12:37,39.8161,109.9776,47.79,21,100,9.17
265,Manokwari,ID,2022-04-05 20:12:38,-0.8667,134.0833,78.21,79,90,4.23
266,Marienburg,PL,2022-04-05 20:12:38,54.0359,19.0266,37.11,74,100,8.77
267,Sambava,MG,2022-04-05 20:12:38,-14.2667,50.1667,77.38,91,100,8.16
268,Baturaja,ID,2022-04-05 20:12:38,-4.1333,104.1667,72.12,98,96,2.51
269,Pangkalanbuun,ID,2022-04-05 20:12:39,-2.6833,111.6167,74.07,98,100,2.53
270,Morki,RU,2022-04-05 20:13:39,56.4303,48.9947,24.04,96,11,6.31
271,Nchelenge,ZM,2022-04-05 20:13:39,-9.3451,28.734,71.76,85,100,2.95
272,Nobres,BR,2022-04-05 20:13:40,-14.7203,-56.3275,87.48,62,19,2.42
273,Lasa,IT,2022-04-05 20:11:54,46.6166,10.7002,43.7,92,61,4.68
