City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
632,Monte Patria,CL,77.79,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
635,Marawi,PH,70.11,light rain,7.9986,124.2928,Derogongan Residence
636,Gibara,CU,76.32,scattered clouds,21.1097,-76.1317,Sol y Mar
642,Tucurui,BR,76.5,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
643,Lengshuitan,CN,70.18,broken clouds,26.4111,111.5956,Jialong Hotel
647,Lahat,ID,72.23,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
648,Clovis,US,71.67,scattered clouds,36.8252,-119.7029,Fairfield Inn & Suites by Marriott Fresno Clovis
649,Melilla,ES,77.2,few clouds,35.2937,-2.9383,Hotel Anfora
650,Antibes,FR,77.97,broken clouds,43.5624,7.1278,"ROYAL ANTIBES Luxury Hotel, Residence, Beach & Spa"
651,Termoli,IT,75.78,clear sky,41.9888,14.9895,Hotel Mistral
653,Binga,ZW,83.52,overcast clouds,-17.6203,27.3414,Lakeview Inn Binga
661,Manama,BH,89.78,clear sky,26.2154,50.5832,Al Safir Hotel
662,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
666,Yarada,IN,84.52,mist,17.65,83.2667,Yarada Jungle Beach Resorts
667,Sorbhog,IN,77.45,clear sky,26.5,90.8667,Parikhit house
673,Ampanihy,MG,82.17,light rain,-24.7,44.75,Angora Hotel
676,Kieta,PG,79.34,light rain,-6.2167,155.6333,Uruna Bay Retreat
677,Mollendo,PE,70.52,broken clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
683,Singkawang,ID,76.84,scattered clouds,0.9,109.0,Capital O 1822 Wahana Inn
684,Benjamin Aceval,PY,71.74,overcast clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
687,Neiafu,TO,81.28,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
689,Belmonte,BR,84.7,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
690,Matara,LK,79.21,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
693,Altamira,BR,80.69,broken clouds,-3.2033,-52.2064,Requinte Hotel
694,Pishva,IR,81.05,overcast clouds,35.308,51.7267,شهرک خورشید هشتم
695,Nelson Bay,AU,71.01,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
696,Alyangula,AU,73.27,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
697,Mount Isa,AU,82.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
698,Fayaoue,NC,81.66,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
701,Bubaque,GW,78.4,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
