City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
288,Bouca,CF,6.5105,18.2733,99.23,24,70,9.06,broken clouds
289,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,76,0,4.61,clear sky
290,Saskylakh,RU,71.9167,114.0833,-8.68,100,65,3.49,broken clouds
291,Vostochnyy,RU,55.8167,37.8667,55.67,81,100,15.03,overcast clouds
292,Karrapur,IN,23.95,78.85,93.67,8,0,2.44,clear sky
293,Arica,CL,-18.475,-70.3042,70.03,60,100,1.14,overcast clouds
294,Portland,US,45.5234,-122.6762,51.53,90,100,5.99,light rain
295,Hamilton,US,39.1834,-84.5333,43.99,78,20,11.5,few clouds
296,Kamaishi,JP,39.2667,141.8833,39.54,77,2,8.12,clear sky
297,Coahuayana,MX,18.7333,-103.6833,72.79,63,18,1.99,few clouds
298,San Quintin,MX,30.4833,-115.95,68.4,36,16,2.01,few clouds
299,Drymen,GB,56.0655,-4.452,48.42,44,96,10.22,overcast clouds
300,Nalut,LY,30.3333,10.85,81.86,16,75,10.36,broken clouds
301,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,100,100,4.47,light shower snow
302,Ust-Tsilma,RU,65.441,52.1498,27.45,87,96,6.6,overcast clouds
303,Flinders,AU,-34.5833,150.8552,69.39,84,81,3.0,broken clouds
304,Asau,RO,46.4333,26.4,67.28,50,81,11.41,broken clouds
305,Sinnamary,GF,5.3833,-52.95,77.54,90,100,10.6,moderate rain
306,Coihaique,CL,-45.5752,-72.0662,43.41,93,75,0.0,mist
307,Evansville,US,37.9748,-87.5558,41.18,84,100,9.22,light rain
308,Ancud,CL,-41.8697,-73.8203,53.22,72,30,1.68,scattered clouds
309,Touros,BR,-5.1989,-35.4608,84.52,70,74,13.82,broken clouds
310,Vargem Grande,BR,-3.5431,-43.9158,86.92,60,100,5.01,overcast clouds
311,Geraldton,AU,-28.7667,114.6,70.21,78,100,8.05,overcast clouds
312,Timizart,DZ,36.8,4.2667,67.62,44,0,8.97,clear sky
313,Vershino-Shakhtaminskiy,RU,51.3012,117.8868,30.07,48,3,8.16,clear sky
314,Tilichiki,RU,60.4667,166.1,17.83,96,100,5.48,light snow
315,Chuy,UY,-33.6971,-53.4616,74.35,60,2,8.9,clear sky
316,Sitka,US,57.0531,-135.33,37.29,87,100,0.0,light rain
317,Ucluelet,CA,48.9329,-125.5528,45.09,89,100,5.99,overcast clouds
318,Dharchula,IN,29.85,80.5333,69.6,30,32,4.97,scattered clouds
319,Lethem,GY,3.3803,-59.7968,81.01,70,98,9.51,overcast clouds
320,Adrar,MR,20.5022,-10.0711,91.44,8,9,11.68,clear sky
321,Seabra,BR,-12.4186,-41.7703,84.7,28,5,8.77,clear sky
322,Quatre Cocos,MU,-20.2078,57.7625,79.09,83,54,15.64,light rain
323,Port Lincoln,AU,-34.7333,135.8667,65.61,77,0,10.85,clear sky
324,Pangnirtung,CA,66.1451,-65.7125,6.8,85,75,3.44,broken clouds
325,Honiara,SB,-9.4333,159.95,78.15,85,100,6.35,overcast clouds
326,Ust-Maya,RU,60.4167,134.5333,4.51,95,22,3.67,few clouds
327,Mandalgovi,MN,45.7625,106.2708,51.22,34,100,8.25,overcast clouds
328,Kizukuri,JP,40.8061,140.3861,40.95,71,76,6.26,broken clouds
329,Verkhnyaya Inta,RU,65.9811,60.3094,17.31,93,58,4.83,broken clouds
330,Vardo,NO,70.3705,31.1107,35.58,75,40,25.32,scattered clouds
331,Bongandanga,CD,1.5,21.05,85.98,50,56,7.34,broken clouds
332,Aykhal,RU,66.0,111.5,1.76,100,65,3.09,broken clouds
333,Jiaozuo,CN,35.2397,113.2331,71.46,43,50,5.44,scattered clouds
334,Rocha,UY,-34.4833,-54.3333,74.91,52,5,7.94,clear sky
335,Tuatapere,NZ,-46.1333,167.6833,48.54,80,72,6.69,broken clouds
336,Matamoros,MX,25.5333,-103.25,60.91,21,40,5.75,scattered clouds
337,Nyurba,RU,63.2842,118.3319,11.17,99,95,4.43,overcast clouds
338,Ducheng,CN,23.2373,111.5317,74.28,41,0,1.88,clear sky
